drink name,category,quantiry one (oz),ingredient one,quantity two (oz),ingredient two,quantity three (oz),ingredient three,quantity four (oz),ingredient four,quantity five (oz),ingredient five,quantity six (oz),ingredient six,quantity seven (oz),ingredient seven,quantity eight (oz),ingredient eight,quantity nine (oz),ingredient nine
Alabama_Slammer,,1,Southern Comfort,1,Amaretto,1,Sloe_Gin,2,Orange_Juice,,,,,,,,,,
Americano,,1.50,Campari,1.50,Sweet_Vermouth,1.50,Soda_Water,,,,,,,,,,,,
Anejo_Highball,,1.50,Rum,0.50,Orange_Cruacao,0.50,Lime_Juice,2,Ginger_Beer,,,,,,,,,,
Bacardi_Cocktail,,2,Light_Rum,0.50,Lime_Juice,0.50,Grenadine,,,,,,,,,,,,
Bay_Breeze,,2,Vodka,3,Cranberry_Juice,3,Pineapple_Juice,,,,,,,,,,,,
Bees_Knees,,2,Gin,0.75,Honey_Syrup,0.50,Lemon_Juice,,,,,,,,,,,,
Campari_and_Soda,,2,Campary,6,Soda_Water,,,,,,,,,,,,,,
Cantarito,,1.50,Tequila,0.50,Lime_Juice,0.50,Lemon_Juice,0.50,Orange_Juice,4,Grapefruit_Soda,,,,,,,,
Cape_Cod,,3,Cranberry_Juice,2,Vodka,,,,,,,,,,,,,,
Dark_and_Stormy,,0.50,Dark_Rum,3,Ginger_Beer,,,,,,,,,,,,,,
Dry_Martini,,2.50,Gin,0.50,Dry_Vermouth,,,,,,,,,,,,,,
Dubonnet_Cocktail,,1.50,Gin,0.75,Dubonnet_Rogue,,,,,,,,,,,,,,
Easter_Bunny,,1.50,Creme_De_Cacao,0.50,Vodka,0.16,Chocolate_Syruop,0.16,Cherry_Brandy,,,,,,,,,,
Electric_Iced_Tea,,0.50,Vodka,0.50,Light_Rum,0.50,Tequila,0.50,Gin,0.50,Blue_Curacao,1,Sour_Mix,1,Lemon_Lime_Soda,,,,
El_Diablo,,1.50,Reposado_tequila,0.50,Creme_De_Cassis,0.50,Lime_Juice,6,Ginger Beer,,,,,,,,,,
French_75,,1.50,Gin,0.16,Syrup,0.50,Fresh_Lemon_Juice,4,Champagne,,,,,,,,,,
French_Pear_Martini,,1.50,Elderflower_Liqueur,1.50,Pear_Vodka,1,Champagne,,,,,,,,,,,,
Friar_Tuck_Cocktails,,1,Frangelico,1,Dark_Creme_De_Cacao,2,Cream,,,,,,,,,,,,
Gibson_Cocktail,,2.50,Gin,0.50,Dry_Vermouth,,,,,,,,,,,,,,
Gimlet,,2,Gin,0.75,Lime_Cordial,,,,,,,,,,,,,,
Gir_Scout_Cookie_Cocktail,,0.50,Coffee-Liqueur,0.50,Irish_Cream_Liqueur,0.50,Peppermint_Schnapps,,,,,,,,,,,,
Hairy_Navel_Cocktail,,1,Vodka,1,Peach_Schnapps,8,Orange_Juice,,,,,,,,,,,,
Harvey Wallbanger Cocktail,,1.50,Vodka,4,Orange_Juice,0.50,Galliano_L’Autentico,,,,,,,,,,,,
Hawaiian_Iced_tea,,0.50,Vodka,0.50,Light_Rum,0.50,Tequila,0.50,Gin,0.50,Triple_Sec,1,Sour_Mix,2,Pineapple_Juice,,,,
Irish_Slammer,,0.75,Irish_Cream_Liqueur,0.75,Irish_Whiskey,8,Guinness,,,,,,,,,,,,
Irish_Coffee,,1.50,Brown_Sugar,4,Coffee,1.50,Irish_Whiskey,1,Heavy_Cream,,,,,,,,,,
Irish_Cactus,,2,Irish_Cream_Liqueur,1,Tequila,,,,,,,,,,,,,,
Jack_O_Lantern,,1.50,Cognac,0.50,Orange_Liqueur,1,Orange_Juice,2,Ginger_Ale,,,,,,,,,,
Jack_Rose,,2.50,AppleJack,0.75,Lemon_Juice,0.50,Grenadine,,,,,,,,,,,,
Jalisco_High_Tea_Tequila,,1.50,Tequila,1.50,Lemon_Verbena_Tea,0.25,Cherry_Liqueur,0.50,Simple_Syrup,,,,,,,,,,
Kentucky_Coffee,,1,Bourbon_Whiskey,0.50,Honey_Liqueur,6,Hot_Coffee,,,,,,,,,,,,
